id,name,district,neighbourhood,family,streets_or_extent,works_start,opening_or_end,date_confidence,lanes_before,lanes_after,lane_cut,permanence,covid_overlap,id_priority,notes,key_sources
BCN-2020-ROGERDELLURIA,Roger de Llúria bike lane,Eixample,Dreta de l'Eixample,lane_reallocation,Carrer de Roger de Llúria,2020-05-01,2020-05-31,month,3 traffic + bus,2 traffic + bus + bike,1,tactical_or_permanent,yes,C,May 2020. Two counters.,Nello-Deakin 2022 Table 1
BCN-2020-PAUCLARIS,Pau Claris bike lane,Eixample,Dreta de l'Eixample,lane_reallocation,Carrer de Pau Claris,2020-05-01,2020-05-31,month,3 traffic + bus,2 traffic + new bike (+bus),1,tactical_or_permanent,yes,C,May 2020. Three counters.,Nello-Deakin 2022 Table 1
BCN-2020-INDUSTRIA,Carrer d'Indústria lane cut,Eixample / Gràcia,Camp d'en Grassot / Indústria,lane_reallocation,Carrer d'Indústria,2020-05-01,2020-05-31,month,2 traffic + bus,2 traffic,1,tactical_or_permanent,yes,C,May 2020. Bus lane removed rather than a traffic lane; still coded as capacity/function change. One counter. Check whether this is a true general-traffic cut.,Nello-Deakin 2022 Table 1
BCN-2020-VALENCIA,Carrer de València bike lane,Eixample,multiple,lane_reallocation,Carrer de València,2020-05-01,2020-05-31,month,3 traffic + bus,2 traffic + bus + bike,1,tactical_or_permanent,yes,C,May 2020. Seven counters — densest observed street in the Nello-Deakin set.,Nello-Deakin 2022 Table 1
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,Eixample,multiple,lane_reallocation,Carrer d'Aragó,2020-11-01,2020-12-31,month,5 traffic + bus,4 traffic + bus + bike,1,permanent,yes,C,Stage 2 on top of 2019 Stage 1. Cumulative cut of 2 lanes vs 2019 baseline. Six counters.,Nello-Deakin 2022 Table 1
BCN-2020-GRANVIA,Gran Via extra bus lane,Eixample,multiple,lane_reallocation,Gran Via de les Corts Catalanes (Eixample),2020-11-01,2020-12-31,month,4 traffic + bus,3 traffic + 2 bus,1,tactical_or_permanent,yes,C,Nello-Deakin notes this street behaved differently (some relative increases) because of width/lanes. Three counters. Do not pool blindly with 1-lane streets.,Nello-Deakin 2022 Table 1
BCN-2020-RONDAUNI,Ronda de la Universitat bus-priority,Eixample,Universitat,lane_reallocation,Ronda de la Universitat,2020-11-01,2021-04-30,month,4 traffic + 2 bus,2 traffic + 2 bus,2,tactical_or_permanent,yes,C,Nov 2020–Apr 2021. Two-lane cut. One counter.,Nello-Deakin 2022 Table 1
BCN-2020-PLUNI,Plaça Universitat lane cut,Eixample,Universitat,lane_reallocation,Plaça Universitat,2020-11-01,2021-04-30,month,4 traffic,3 traffic,1,tactical_or_permanent,yes,C,Nov 2020–Apr 2021. One counter.,Nello-Deakin 2022 Table 1
BCN-2021-PELAI-TAC,Pelai tactical extra sidewalk,Eixample / Ciutat Vella,El Raval / Dreta,tactical_urbanism,Carrer de Pelai,2021-03-01,2021-03-31,month,3 traffic + 1 bus,2 traffic + 1 bus,1,tactical_later_revised,yes,C,Mar 2021. Two counters. In 2023 the Collboni government redesigned the space and recovered loading/moto parking. Code a separate reverse treatment when that date is pinned.,Nello-Deakin 2022 Table 1; El Periódico 12 Aug 2023
BCN-2020-ROCAFORT-TAC,Rocafort tactical (no counter in Nello-Deakin),Eixample,Esquerra de l'Eixample,tactical_urbanism,Carrer de Rocafort,2020-05-01,2020-06-30,month,unknown,unknown,at least 1,tactical,yes,C,Excluded from Nello-Deakin because no traffic count. Still on our longlist; later became a permanent green axis.,Nello-Deakin 2022 fn.6
BCN-2020-CASTILLEJOS-TAC,Castillejos tactical (no counter in Nello-Deakin),Eixample / Horta-Guinardó,Sagrada Família / El Baix Guinardó,tactical_urbanism,Carrer de Castillejos,2020-05-01,2020-06-30,year,unknown,unknown,at least 1,tactical,yes,C,Excluded from Nello-Deakin for lack of counts. Confirm extent and whether it was made permanent.,Nello-Deakin 2022 fn.6
BCN-2022-EIX-CONSELLDECENT,Eix Verd Consell de Cent (permanent),Eixample,Dreta / Esquerra de l'Eixample,green_axis,"Consell de Cent from Vilamarí to Passeig de Sant Joan (approx. 2.8 km); cars must turn each block; no through movement",2022-08-16,2023-05-31,day,1 remaining traffic lane after 2020 tactical,forced-turn pedestrian-priority green axis,through traffic removed,permanent,none,A,Core identification case. Preliminary works Jul–early Aug 2022; main works from 16 Aug 2022; target end Mar–Apr 2023 before municipal elections. Opens a clean post-COVID window vs 2018–2019 and 2024–2025. Superimposed on 2020 tactical treatment: use 2018–19 as pre; 2020–21 as tactical regime; 2023+ as permanent.,Barcelona.cat 16 Aug 2022; El País 19 Jan 2023; Public Space 2023
BCN-2022-EIX-GIRONA,Eix Verd Girona (permanent),Eixample,Dreta de l'Eixample,green_axis,Carrer de Girona (approx. 0.75 km in phase 1),2022-08-16,2023-05-31,day,1 remaining traffic lane after 2020 tactical,forced-turn pedestrian-priority green axis,through traffic removed,permanent,none,A,Same works window as Consell de Cent. Treat as part of Eixos Verds phase 1 cluster; also keep a street-level id.,Barcelona.cat 16 Aug 2022; Romero Polo; Public Space 2023
BCN-2022-EIX-ROCAFORT,Eix Verd Rocafort (permanent),Eixample,Esquerra de l'Eixample,green_axis,Carrer de Rocafort (approx. 0.60 km in phase 1),2022-08-16,2023-05-31,day,unknown after 2020 tactical,forced-turn pedestrian-priority green axis,through traffic removed,permanent,none,A,Same cluster. Rocafort had no Nello-Deakin counter; still priority A if we find a nearby aforament.,Barcelona.cat 16 Aug 2022; Public Space 2023
BCN-2022-EIX-BORRELL,Eix Verd Comte Borrell (permanent; Eixample stretch),Eixample,Sant Antoni / Esquerra,green_axis,Carrer de Comte Borrell (approx. 0.50 km in phase 1; later extension discussed),2022-08-16,2023-05-31,day,unknown,forced-turn pedestrian-priority green axis,through traffic removed,permanent,none,A,Overlaps geographically with Sant Antoni 2018. Need to split the 2018 market-cross treatment from the 2022–23 green-axis stretch. Extension toward Paris / Tarradellas promised before 2028 — not yet treatment.,Barcelona.cat 16 Aug 2022; ARA 14 Apr 2026 on later extension
BCN-2022-EIX-SQUARES,Eixos Verds four squares,Eixample,multiple,green_axis_square,"Squares at Consell de Cent × Rocafort; × Comte Borrell; × Enric Granados; × Girona (~2000 m2 each)",2022-08-16,2023-05-31,day,signalised junctions,pedestrian squares; private vehicles cannot cross,junction closure to through traffic,permanent,none,A,Do not double-count as extra street treatments; they are the junction component of the four axes. Enric Granados street itself was already pedestrian-priority.,Barcelona.cat 16 Aug 2022; Tot Barcelona
BCN-2022-PIMARGALL,Pi i Margall civic / green axis,Gràcia / Horta-Guinardó,Camp d'en Grassot / Baix Guinardó,green_axis,Carrer de Pi i Margall (~690 m; Parc de les Aigües–Plaça Joanic),2022-06-01,2023-12-17,day,4 traffic lanes (~20 of 30 m carriageway),2 lanes remaining; 70% of width to pedestrians/green; 30 km/h,2,permanent,none,A,Strong independent post-COVID case outside Eixample grid. Two of four lanes removed. Inaugurated 17 Dec 2023 after ~18 months of works. Different network topology from Cerdà grid — useful for later heterogeneity.,Ajuntament press 17 Dec 2023; Betevé inauguration report
BCN-2022-VIALAIETANA,Via Laietana reform (phased),Ciutat Vella,Gothic / Born,corridor_rebuild,Via Laietana Plaça Urquinaona–Antoni Maura then onward to Passeig de Colom,2022-03-01,2024-12-31,multi-year,narrow mixed section + tactical sidewalk/bike,widened sidewalks; rebuilt section,unknown,permanent,none,F,First phase Urquinaona–Antoni Maura targeted May 2023 after 14 months from Mar 2022; second phase to 2024. Mix of heritage rebuild and RSR. Hard to isolate as a clean capacity shock.,20 Minutos 2023; El Periódico 12 Aug 2023
BCN-GLORIES,Plaça de les Glòries surface park over tunnels,Eixample / Sant Martí,Glòries,corridor_rebuild,Glòries junction / former ring; traffic in tunnels; surface park,2014-01-01,2024-12-31,multi-year,surface traffic gyratory,surface traffic reduced; tunnels,unknown,permanent,partial,F,Major network change but treatment is tunnel + park not a street-space reallocation of the Superilla type. Keep as confounder / optional corridor case.,El Periódico 2023; municipal project pages
BCN-MERIDIANA,Avinguda Meridiana transformation (phased),Sant Andreu / Nou Barris,multiple,corridor_rebuild,Avinguda Meridiana (multiple stretches; later phases into 2026+),2015-01-01,2026-12-31,multi-year,wide arterial,lanes cut in phases; bike; greenery,unknown,permanent,partial,F,Phased arterial diet. Not a Superilla. Potential spillover confounder for northern counters. Do not mix with Eixample green axes.,Ajuntament Superblock monograph; later phase reporting
BCN-2023-PELAI-REVISE,Pelai tactical revision (partial reversal),Eixample / Ciutat Vella,El Raval / Dreta,reversal_or_redesign,Carrer de Pelai,2023-01-01,2023-12-31,year,2 traffic + 1 bus + painted extra sidewalk,redesign recovering moto/bike parking and loading,unknown,permanent,none,C,Collboni government redesign after 2021 tactical sidewalk. Date still coarse. Valuable as a reverse-capacity case if we can date it and find counts.,El Periódico 12 Aug 2023
BCN-2025-SANTANTONI-DEF,Sant Antoni definitive green urbanisation (planned),Eixample,Sant Antoni,green_axis,"Comte Borrell (Manso–Paral·lel); Parlament (Viladomat–Paral·lel); Aldana (Borrell–Ronda Sant Pau)",2026-01-01,,planned,unknown,unknown,unknown,planned,none,E,Tender 2025 Q3; works from 2026 Q1. Not yet treatment. Do not include in causal sample.,Barcelona.cat 13 May 2025
BCN-2025-22AT-AXES,22@ flexible green axes (planned),Sant Martí,22@ / Poblenou,green_axis,"Sancho de Ávila; Almogàvers; Pujades; Doctor Trueta; Àlaba; Ciutat de Granada; Fluvià; Bolívia; Cristóbal de Moura; Treball; Puigcerdà; also Badajoz / Pere IV",2025-03-01,,planned,unknown,unknown,unknown,planned,none,E,Special plan approved 2025. Collboni model: buses may pass; forced-turn not mandatory. Not yet a treatment set. Useful later as a different intensity class.,El Periódico 17 May 2024; ARA flexible axes; El Nacional
